Length,Width,Freq [GHz],S11,S21,,,,,,,,
60,15,5,-75.02926517,-94.49807743,,,,,,,,
60,15,5.2,-75.05515586,-93.20167695,,,,,,,,
60,15,5.4,-75.07501574,-91.83505809,,,,,,,,7.63x10^3
60,15,5.6,-75.08733109,-90.39503862,,,,,,,,5.18x10^4
60,15,5.8,-75.09031974,-88.87805372,,,,,,,,
60,15,6,-75.08187599,-87.28009361,,,,,,,,
60,15,6.2,-75.05950199,-85.59662709,,,,,,,,
60,15,6.4,-75.0202219,-83.82250671,,,,,,,,
60,15,6.6,-74.9604734,-81.95184998,,,,,,,,
60,15,6.8,-74.87596916,-79.97788879,,,,,,,,
60,15,7,-74.76151835,-77.89277584,,,,,,,,
60,15,7.2,-74.61079318,-75.68733227,,,,,,,,
60,15,7.4,-74.41601928,-73.35071273,,,,,,,,
60,15,7.6,-74.16755712,-70.86995243,,,,,,,,
60,15,7.8,-73.85332361,-68.22934063,,,,,,,,
60,15,8,-73.45797056,-65.40953161,,,,,,,,
60,15,8.2,-72.96167761,-62.38624412,,,,,,,,
60,15,8.4,-72.33830201,-59.12828873,,,,,,,,
60,15,8.6,-71.55238752,-55.59444114,,,,,,,,
60,15,8.8,-70.55399223,-51.72820801,,,,,,,,
60,15,9,-69.26893841,-47.44842992,,,,,,,,
60,15,9.2,-67.57822569,-42.63076522,,,,,,,,
60,15,9.4,-65.26722403,-37.06610109,,,,,,,,
60,15,9.6,-61.86720992,-30.34628864,,,,,,,,
60,15,9.8,-55.90225369,-21.41002915,,,,,,,,
60,15,10,-28.10002104,-0.006731607,,,,,,,,
60,18,5,-77.68404589,-72.74836852,,,,,,,,
60,18,5.2,-77.80058674,-71.05558068,,,,,,,,
60,18,5.4,-77.91245293,-69.25259926,,,,,,,,
60,18,5.6,-78.0165913,-67.33057595,,,,,,,,
60,18,5.8,-78.1089369,-65.27900053,,,,,,,,
60,18,6,-78.18398962,-63.08523926,,,,,,,,
60,18,6.2,-78.23416487,-60.73389138,,,,,,,,
60,18,6.4,-78.24876747,-58.20586743,,,,,,,,
60,18,6.6,-78.21231427,-55.47702623,,,,,,,,
60,18,6.8,-78.10168333,-52.51607968,,,,,,,,
60,18,7,-77.88104503,-49.28121724,,,,,,,,
60,18,7.2,-77.4923496,-45.71433649,,,,,,,,
60,18,7.4,-76.83624148,-41.73039809,,,,,,,,
60,18,7.6,-75.73023245,-37.19564588,,,,,,,,
60,18,7.8,-73.80436796,-31.87587612,,,,,,,,
60,18,8,-70.17540573,-25.28029867,,,,,,,,
60,18,8.2,-61.73523043,-15.89287576,,,,,,,,
60,18,8.4,-47.77861028,-7.24E-05,,,,,,,,
60,18,8.6,-59.29968783,-5.10E-06,,,,,,,,
60,18,8.8,-68.12396069,-6.69E-07,,,,,,,,
60,18,9,-79.0462018,-5.41E-08,,,,,,,,
60,18,9.2,-82.78146121,-2.29E-08,,,,,,,,
60,18,9.4,-76.11293871,-1.06E-07,,,,,,,,
60,18,9.6,-73.58520148,-1.90E-07,,,,,,,,
60,18,9.8,-72.77474495,-2.29E-07,,,,,,,,
60,18,10,-73.0917365,-2.13E-07,,,,,,,,
60,21,5,-81.33949518,-55.6427535,,,,,,,,
60,21,5.2,-81.47545194,-53.41102317,,,,,,,,
60,21,5.4,-81.58001677,-50.98840673,,,,,,,,
60,21,5.6,-81.63481739,-48.34622275,,,,,,,,
60,21,5.8,-81.6105432,-45.44619804,,,,,,,,
60,21,6,-81.45807102,-42.23526121,,,,,,,,
60,21,6.2,-81.08996668,-38.63598224,,,,,,,,
60,21,6.4,-80.33850896,-34.5271377,,,,,,,,
60,21,6.6,-78.84893954,-29.69798862,,,,,,,,
60,21,6.8,-75.75276767,-23.71248555,,,,,,,,
60,21,7,-68.10732563,-15.26625875,,,,,,,,
60,21,7.2,-52.56471731,-2.41E-05,,,,,,,,
60,21,7.4,-63.20463599,-2.08E-06,,,,,,,,
60,21,7.6,-69.27420926,-5.13E-07,,,,,,,,
60,21,7.8,-73.4924705,-1.94E-07,,,,,,,,
60,21,8,-76.14010915,-1.06E-07,,,,,,,,
60,21,8.2,-77.83802667,-7.14E-08,,,,,,,,
60,21,8.4,-79.66550382,-4.69E-08,,,,,,,,
60,21,8.6,-82.68537909,-2.34E-08,,,,,,,,
60,21,8.8,-89.06658409,-5.38E-09,,,,,,,,
60,21,9,-97.11327208,-8.44E-10,,,,,,,,
60,21,9.2,-84.11168012,-1.69E-08,,,,,,,,
60,21,9.4,-78.75534616,-5.78E-08,,,,,,,,
60,21,9.6,-75.39012778,-1.26E-07,,,,,,,,
60,21,9.8,-72.95581886,-2.20E-07,,,,,,,,
60,21,10,-71.05199187,-3.41E-07,,,,,,,,
60,24,5,-83.51174713,-40.88261152,,,,,,,,
60,24,5.2,-82.89420773,-37.78915654,,,,,,,,
60,24,5.4,-81.97770372,-34.27989636,,,,,,,,
60,24,5.6,-80.57677134,-30.21028087,,,,,,,,
